,Domain,Ok,Annotation
0,adf.org.au,TRUE,
4,en.wikipedia.org,TRUE,
8,tourfinder.au,TRUE,
9,vietnam.travel,TRUE,
10,www.abc.net.au,TRUE,
11,www.amazon.com.au,TRUE,
13,www.tripadvisor.com.au,TRUE,
15,www.wa.gov.au,TRUE,
19,danangfantasticity.com,TRUE,
27,fullstarkitchenware.com,TRUE,
28,grtsupply.com,TRUE,US
30,news.sky.com,TRUE,
31,nitrousdelivery.com,TRUE,US
32,ontheworldmap.com,TRUE,
36,vietnamdiscovery.com,TRUE,
37,wanderingwheatleys.com,TRUE,
38,www.9news.com.au,TRUE,
54,www.bbc.co.uk,TRUE,
58,www.booking.com,TRUE,
59,www.cahma.org.au,TRUE,
60,www.dancewizensw.org.au,TRUE,
61,www.gov.uk,TRUE,
63,www.msn.com,TRUE,
64,www.news.com.au,TRUE,
65,www.nomadasaurus.com,TRUE,
66,www.paulapinstheplanet.com,TRUE,
67,www.rnz.co.nz,TRUE,
72,www.thecrazytourist.com,TRUE,
75,yourroom.health.nsw.gov.au,TRUE,